Zoning,LotArea,LotShape,LandContour,Neighborhood,BldgType,YearRemodel,ExterCond,Foundation,CentralAir,TotRmsAbvGrd,Fireplaces,GarageCars,TotalFullBath,TotalHalfBath,SaleCondition,HouseAge,ConstArea,QIndex,Price_sqft,log(SalePrice),SalePrice
RL,31770,IR1,Lvl,NAmes,1Fam,1960,TA,CBlock,Y,7,2,2.0,2.0,0.0,Normal,50,2736.0,30,78.58187134502924,12.2783933071098,215000
RL,14267,IR1,Lvl,NAmes,1Fam,1958,TA,CBlock,Y,6,0,1.0,1.0,1.0,Normal,52,2658.0,36,64.71030850263355,12.05524975579559,172000
RL,11160,Reg,Lvl,NAmes,1Fam,1968,TA,CBlock,Y,8,2,2.0,3.0,1.0,Normal,42,4220.0,35,57.81990521327014,12.404923504275338,244000
RL,13830,IR1,Lvl,Gilbert,1Fam,1998,TA,PConc,Y,6,1,2.0,2.0,1.0,Normal,13,2557.0,25,74.26671881110677,12.154252896800378,189900
RL,9978,IR1,Lvl,Gilbert,1Fam,1998,TA,PConc,Y,7,1,2.0,2.0,1.0,Normal,12,2530.0,36,77.27272727272727,12.183315658407558,195500
RL,4920,Reg,Lvl,StoneBr,TwnhsE,2001,TA,PConc,Y,6,0,2.0,3.0,0.0,Normal,9,2676.0,40,79.78325859491778,12.271392111650817,213500
RL,5005,IR1,HLS,StoneBr,TwnhsE,1992,TA,PConc,Y,5,0,2.0,2.0,0.0,Normal,18,2560.0,40,74.8046875,12.162643087602838,191500
RL,5389,IR1,Lvl,StoneBr,TwnhsE,1996,TA,PConc,Y,5,1,2.0,3.0,0.0,Normal,15,3211.0,40,73.65306758019308,12.373703486914124,236500
RL,7500,Reg,Lvl,Gilbert,1Fam,1999,TA,PConc,Y,7,1,2.0,2.0,1.0,Normal,11,2798.0,35,67.5482487491065,12.14950229404178,189000
RL,10000,IR1,Lvl,Gilbert,1Fam,1994,TA,PConc,Y,7,1,2.0,2.0,1.0,Normal,17,2418.0,30,72.7460711331679,12.077670930725649,175900
RL,7980,IR1,Lvl,Gilbert,1Fam,2007,Gd,PConc,Y,6,0,2.0,3.0,0.0,Normal,18,2355.0,42,78.55626326963906,12.128111104060462,185000
RL,8402,IR1,Lvl,Gilbert,1Fam,1998,TA,PConc,Y,7,1,2.0,2.0,1.0,Normal,12,2254.0,30,80.03549245785271,12.10293188661066,180400
RL,10176,Reg,Lvl,Gilbert,1Fam,1990,TA,PConc,Y,5,1,2.0,2.0,1.0,Normal,20,2641.0,35,64.9375236652783,12.052338545588132,171500
RL,6820,IR1,Lvl,StoneBr,TwnhsE,1985,TA,PConc,Y,4,0,2.0,2.0,1.0,Normal,25,2990.0,40,70.90301003344482,12.26434155365415,212000
RL,11394,Reg,Lvl,StoneBr,1Fam,2010,TA,PConc,Y,8,1,3.0,2.0,1.0,Partial,0,3712.0,18,106.25862068965517,12.885202034321916,394432
RL,19138,Reg,Lvl,Gilbert,1Fam,1951,TA,CBlock,Y,4,0,2.0,1.0,0.0,Normal,59,1728.0,20,81.59722222222223,11.856515169360305,141000
RL,13175,Reg,Lvl,NWAmes,1Fam,1988,TA,CBlock,Y,7,2,2.0,3.0,0.0,Normal,32,3615.0,36,58.09128630705394,12.254862809699606,210000
RL,11751,IR1,Lvl,NWAmes,1Fam,1977,TA,CBlock,Y,7,1,2.0,2.0,0.0,Normal,33,3688.0,36,51.51843817787419,12.154779351142624,190000
FV,7500,Reg,Lvl,Somerst,1Fam,2000,TA,PConc,Y,7,0,2.0,3.0,1.0,Normal,10,2488.0,35,86.81672025723472,12.283033686666302,216000
RL,11241,IR1,Lvl,NAmes,1Fam,1970,TA,CBlock,Y,5,1,2.0,2.0,0.0,Normal,40,2008.0,42,74.20318725099601,11.911701584927597,149000
RL,12537,IR1,Lvl,NAmes,1Fam,2008,TA,CBlock,Y,6,1,2.0,2.0,1.0,Normal,39,2156.0,30,69.52690166975881,11.917723684090689,149900
RL,8450,Reg,Lvl,NAmes,1Fam,1968,TA,CBlock,Y,6,1,1.0,2.0,0.0,Normal,42,2112.0,30,67.23484848484848,11.863582336583399,142000
RL,8400,Reg,Lvl,NAmes,1Fam,1970,TA,CBlock,Y,4,0,2.0,2.0,0.0,Normal,40,1764.0,20,71.42857142857143,11.744037185933616,126000
RM,1680,Reg,Lvl,BrDale,Twnhs,1971,TA,CBlock,Y,5,0,1.0,1.0,1.0,Normal,39,1470.0,30,65.3061224489796,11.472103470449973,96000
RM,1680,Reg,Lvl,BrDale,Twnhs,1971,TA,CBlock,Y,6,0,1.0,1.0,1.0,Normal,39,1617.0,25,65.24427952999382,11.566466231898259,105500
RL,12858,IR1,Lvl,NridgHt,1Fam,2010,TA,PConc,Y,10,1,3.0,2.0,1.0,Partial,1,3924.0,45,95.861875637105,12.837775180646194,376162
