SID,PID,SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,LogSalePrice,HouseAge1,HouseAge2,WeatherControl,TotalBath,GarageIndex
1,526301100,20,RL,141.0,31770,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,CBlock,1080.0,GasA,SBrkr,1656,3,3,7,Typ,2,Gd,2.0,528.0,P,210,62,0,0,0,0,,,,0,WD ,Normal,215000,12.2783933071098,50,50,2,2.0,3.0
2,526350040,20,RH,80.0,11622,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,882.0,GasA,SBrkr,896,2,3,5,Typ,0,,1.0,730.0,Y,140,0,0,0,120,0,,MnPrv,,0,WD ,Normal,105000,11.56171562913966,49,49,4,1.0,3.0
3,526351010,20,RL,81.0,14267,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,CBlock,1329.0,GasA,SBrkr,1329,3,4,6,Typ,0,,1.0,312.0,Y,393,36,0,0,0,0,,,Gar2,12500,WD ,Normal,172000,12.05524975579559,52,52,4,2.0,3.0
4,526353030,20,RL,93.0,11160,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Hip,CompShg,BrkFace,BrkFace,,0.0,Gd,CBlock,2110.0,GasA,SBrkr,2110,3,5,8,Typ,2,TA,2.0,522.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,244000,12.404923504275338,42,42,8,4.0,3.0
5,527105010,60,RL,74.0,13830,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,928.0,GasA,SBrkr,1629,3,3,6,Typ,1,TA,2.0,482.0,Y,212,34,0,0,0,0,,MnPrv,,0,WD ,Normal,189900,12.154252896800378,13,12,6,3.0,3.0
6,527105030,60,RL,78.0,9978,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,PConc,926.0,GasA,SBrkr,1604,3,4,7,Typ,1,Gd,2.0,470.0,Y,360,36,0,0,0,0,,,,0,WD ,Normal,195500,12.183315658407558,12,12,8,3.0,3.0
10,527162130,60,RL,60.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,994.0,GasA,SBrkr,1804,3,4,7,Typ,1,TA,2.0,442.0,Y,140,60,0,0,0,0,,,,0,WD ,Normal,189000,12.14950229404178,11,11,6,3.0,3.0
11,527163010,60,RL,75.0,10000,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,763.0,GasA,SBrkr,1655,3,3,7,Typ,1,TA,2.0,440.0,Y,157,84,0,0,0,0,,,,0,WD ,Normal,175900,12.077670930725649,17,16,6,3.0,3.0
12,527165230,20,RL,,7980,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,1168.0,GasA,SBrkr,1187,3,3,6,Typ,0,,2.0,420.0,Y,483,21,0,0,0,0,,GdPrv,Shed,500,WD ,Normal,185000,12.128111104060462,18,3,8,3.0,3.0
13,527166040,60,RL,63.0,8402,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,789.0,GasA,SBrkr,1465,3,3,7,Typ,1,Gd,2.0,393.0,Y,0,75,0,0,0,0,,,,0,WD ,Normal,180400,12.10293188661066,12,12,6,3.0,3.0
14,527180040,20,RL,85.0,10176,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,1300.0,GasA,SBrkr,1341,2,4,5,Typ,1,Po,2.0,506.0,Y,192,0,0,0,0,0,,,,0,WD ,Normal,171500,12.052338545588132,20,20,6,3.0,3.0
17,527225035,50,RL,152.0,12134,Pave,,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,Wood,559.0,GasA,SBrkr,1752,4,3,8,Typ,0,,2.0,492.0,Y,325,12,0,0,0,0,,,,0,WD ,Normal,164000,12.007621706806335,22,5,6,2.0,3.0
19,527276150,20,RL,140.0,19138,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,864.0,GasA,SBrkr,864,2,3,4,Typ,0,,2.0,400.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,141000,11.856515169360305,59,59,8,1.0,3.0
20,527302110,20,RL,85.0,13175,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,CBlock,1542.0,GasA,SBrkr,2073,3,3,7,Min1,2,TA,2.0,500.0,Y,349,0,0,0,0,0,,MnPrv,,0,WD ,Normal,210000,12.254862809699606,32,22,4,3.0,3.0
21,527358140,20,RL,105.0,11751,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,CBlock,1844.0,GasA,SBrkr,1844,3,3,7,Typ,1,TA,2.0,546.0,Y,0,122,0,0,0,0,,MnPrv,,0,COD,Normal,190000,12.154779351142624,33,33,8,2.0,3.0
24,527402200,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,1004.0,GasA,SBrkr,1004,2,3,5,Typ,1,TA,2.0,480.0,Y,0,0,0,0,0,0,,,Shed,700,WD ,Normal,149000,11.911701584927597,40,40,8,2.0,3.0
